Origen,Destino,Total
lacaixa.es,mcrinternational.com,3
lacaixa.es,aqualogy.net,12
lacaixa.es,puertoseco.com,2
lacaixa.es,mgs.es,4
lacaixa.es,celsauk.com,6
lacaixa.es,aserinte.es,3
lacaixa.es,sanasr02.com,2
lacaixa.es,expal.biz,6
proveedorexterno.com,proveedorexterno.com,1
lacaixa.es,fermonduc.com,2
lacaixa.es,bbva.com,2
lacaixa.es,ccemalabo.es,4
lacaixa.es,roigcasamitjana.com,1
lacaixa.es,telefonicafactoring.com,8
lacaixa.es,rubioalvarez.es,3
lacaixa.es,gcelsa.com,50
lacaixa.es,meroil.es,11
lacaixa.es,eurofred.com,8
lacaixa.es,g,7
lacaixa.es,mi.com,6
lacaixa.es,grupperalada.com,1
lacaixa.es,nextcool.es,1
lacaixa.es,mmgestio.cat,2
lacaixa.es,s,6
lacaixa.es,proveedorexterno.com;david.ga,1
lacaixa.es,interbook.net,2
proveedorexterno.com,lacaixa.es;"mjsi,1
lacaixa.es,affinity-petcare.com,1
lacaixa.es,activamutua.es,1
lacaixa.es,hotmai.com,4
lacaixa.es,es.issworld.com,13
lacaixa.es,chq.alstom.com,2
lacaixa.es,cc-online.net,1
lacaixa.es,tecsa.es,17
glc.es,externos.itnow.es,2
lacaixa.es,es.nestle.com,7
lacaixa.es,vidacaixa.com,19
lacaixa.es,centregestor.es,3
lacaixa.es,codorniu.com,1
lacaixa.es,tunels.cat,2
lacaixa.es,boluda.com.es,1
lacaixa.es,hiemesa.com,3
lacaixa.es,somacyl.es,3
lacaixa.es,grupserhs.com,77
lacaixa.es,gestoriapastor.com,4
lacaixa.es,lacaixa.es,123
lacaixa.es,sercaman.es,2
lacaixa.es,pms.es,4
lacaixa.es,fondon.org,1
ajgirona.cat,lacaixa.es,6
lacaixa.es,izasa.es,2
lacaixa.es,alonsorocajunyent.com,2
lacaixa.es,delioncom.com,6
lacaixa.es,endesa.es;ser,2
lacaixa.es,accenture.com,36
lacaixa.es,tecnocom.es,34
microsoft.com,itnow.es,4
lacaixa.es,gasnatural.com,15
lacaixa.es,lacaixa.es;pjua,4
lacaixa.es,egeaabogados.net,2
tecnocom.es,itnow.es,2
lacaixa.es,inverc,6
dinersclub.es,caixacard.net,1
lacaixa.es,compass-group.es,7
lacaixa.es,fluidra.com,3
lacaixa.es,lipsa.es,2
lacaixa.es,agencaixa.es,2
lacaixa.es,privalia.com,2
lacaixa.es,invensys.com,2
lacaixa.es,geware.es,2
externos.itnow.es,itnow.es,2
lacaixa.es,orangemail.es,2
lacaixa.es,rhgr.com,2
silk.es,externos.itnow.es,8
lacaixa.es,mqasesoreslegales.com,2
proveedorexterno.com,lacaixa.es;"bbva,3
proveedorexterno.com,lacaixa.es;"list,1
lacaixa.es,proveedorexterno,4
tecnocom.es,lacaixa.es,7
