Nombre,Lat,Lon
lacaixa.es,41.3888,2.15899
bancacivica.es,41.3888,2.15899
bancodevalencia.es,41.3888,2.15899
proveedorexterno.com,41.3888,2.15899
promocaixa.es,41.3888,2.15899
caixacard.net,51.5,-0.13
gdscusa.es,41.3984,2.1741
lacaixa.es,41.3888,2.15899
lacaixa.com,41.3888,2.15899
glc.es,41.3888,2.15899
segurcaixaadeslas.es,41.3888,2.15899
int-it.net,41.3888,2.15899
hotmail.com,47.6742,-122.1206
hotmail.es,47.6742,-122.1206
indrabmb.es,40.4,-3.68
elacaixa.es,41.3984,2.1741
elacaixa.com,41.3984,2.1741
nextret.net,41.3996,2.1481
gmail.com,37.3801,-122.0865
gmail.es,37.3801,-122.0865
barclayscapital.com,40.6566,-74.3039
olibegijar.es,36.9451,-2.46302
ubs.com,47.3667,8.55
vidacaixa.com,41.3888,2.15899
ns1.allglobalnames.es,41.3888,2.15899
invercaixa.es,41.9316,2.80907
caam.net,36.9451,-2.46302
ubs.com,47.3667,8.55
correolimpio.telefonica.es,40.4165,-3.70256
db.com,50.1155,8.68417
capgemini.es,52.374,4.88969
silk.es,41.3888,2.15899
baseuno.es,49.0047,8.38583
csa.es,42.35,-3.7
ricoh.es,47.0056,28.8575
criteria.com,41.3888,2.15899
deloitte.es,40.4165,-3.70256
outlook.com,47.6829,-122.121
pictet.com,46.2022,6.14569
capgemini.com,52.374,4.88969
ceca.es,40.4165,-3.70256
amuebles.es,36.7202,-4.42034
elconfidencial.com,40.4165,-3.70256
tecnocom.es,40.4165,-3.70256
golfgorraiz.com,40.4165,-3.70256
trivinsa.com,40.4165,-3.70256
caser.es,40.4165,-3.70256
trinitycollege.es,49.0047,8.38583
galeriasicart.com,40.4165,-3.70256
fluidra.com,41.3888,2.15899
repsol.com,40.4165,-3.70256
gestors.net,41.3888,2.15899
godoygestio.es,39.5696,3.20955
centregestor.es,40.4165,-3.70256
bounce.envio.showroomprive.com,48.1374,11.5755
schroders.com,51.5085,-0.12574
segurcaixaholding.com,41.3888,2.15899
gyb.es,42.4667,-2.45
secpb.com,42.4667,-2.45
lorcamarin.es,49.0047,8.38583
europapress.es,40.4165,-3.70256
serviciosbancarios.com,39.5694,2.65024
