Origen,Destino,Total
bancacivica.es,pictet.com,4
bancodevalencia.es,es.pwc.com,1
bancodevalencia.es,hotmail.com,2
lacaixa.es,capgemini.es,4
bancodevalencia.es,r.ems7.net,1
galeriasicart.com,lacaixa.es,24
lacaixa.es,hotmail.com,288
bancacivica.es,ceca.es,2
lacaixa.es,itnow.es,3
bancodevalencia.es,deloitte.es,3
bancacivica.es,repsol.com,1
bancacivica.es,blackrock.com,2
bancodevalencia.es,bounce.envio.showroomprive.com,1
lacaixa.es,live.com.pt,1
proveedorexterno.com,everis.com,19
lacaixa.es,baseuno.es,1
lacaixa.es,yahoo.es,2
lacaixa.es,lorcamarin.es,2
lacaixa.es,t,2
lacaixa.es,proveedorexterno.com;david.ga,2
bancodevalencia.es,gdscusa.es,1
lacaixa.es,trinitycollege.es,1
segurcaixaholding.com,eds.com,4
bancacivica.es,bnymellon.com,2
lacaixa.es,mac.com,2
bancacivica.es,correolimpio.t,11
barrera.com,csa.es,1
gestoriacoll.com,hotmail.com,5
lacaixa.es,trbasp01.lacaixa.es,7
bancacivica.es,bounce.linkedin.com,2
ccoolacaixa.net,itnow.es,1
silk.es,hpcds.com,2
mrxasp13.lacaixa.es,lacaixa.es,5
everis.com,lacaixa.es,5
caam.net,lacaixa.es,23
lacaixa.es,vidacaixa.com,6
lacaixa.es,outlook.com,1
lacaixa.es,hotmail.es,38
bancacivica.es,jpmchase.com,8
gestors.net,godoygestio.es,1
lacaixa.es,telefonica.es;david.garci,4
gmail.com,criteria.com,1
mrxasp13.lacaixa.es,silk.es;soporte.,1
bancacivica.es,correolimpio.telefonica.es,7
westernunion.com,itnow.es,2
citco.com,invercaixa.es,3
lacaixa.es,lacaixa.es,12
bancacivica.es,galahotels.com,1
int-it.net,lacaixa.es,5
bancacivica.es,secpb.com,2
bancacivica.es,postmaster.twitter.com,1
bancacivica.es,barclayscapital.com,53
bancacivica.es,schroders.com,1
gmail.com,gmail.com,1
gestors.net,allianzmed.es,1
bancacivica.es,yahoo.es,4
lacaixa.es,accenture.com,1
silk.es,opentrends.net,6
bancodevalencia.es,gyb.es,3
golfgorraiz.com,grupoinvercaixa.es,2
bancacivica.es,db.com,4
ubs.com,vidacaixa.com,2
lacaixa.es,amuebles.es,1
bancodevalencia.es,gmail.com,4
lacaixa.es,fluidra.com,2
bancacivica.es,eventoplus.com,2
bancacivica.es,elconfidencial.com,1
lacaixa.es,agbar.net,2
bancacivica.es,olibegijar.es,2
bancacivica.es,ausbanc.com,1
bancacivica.es,grupocimd.com,2
lacaixa.es,gdscusa.es,11
proveedorexterno.com,tecnocom.es,12
lacaixa.es,cotasp02.lacaixa.es,1
bancacivica.es,finesti.com,2
bancacivica.es,telefonica.es,1
lacaixa.es,hp,5
lacaixa.es,gmail.com,236
bancacivica.es,europapress.es,3
bancacivica.es,barclays.com,1
lacaixa.es,proveedorexterno,4
silk.es,hp.com,31
bancodevalencia.es,sumasa.es,2
mrxasp13.lacaixa.es,everis.com,2
bancacivica.es,trivinsa.com,2
bancacivica.es,gruposantander.com,10
bancacivica.es,caser.es,2
lacaixa.es,mi.madritel.es,2
centregestor.es,farmasegre.com,2
ricoh.es,itnow.es,1
lacaixa.es,itnow,2
lacaixa.es,capgemini.com,5
lacaixa.es,serviciosbancarios.com,19
bancacivica.es,gmail.com,11
bancodevalencia.es,accenture.com,2
bancacivica.es,cesvimap.com,4
bancacivica.es,rbrldn.demon.co.uk,1
bancacivica.es,lists.elboletin.com,1
