Origen,Destino,Total
lacaixa.es,talefonica.net,1
lacaixa.es,nutrexpa.es,1
lacaixa.es,oceana.org,2
lacaixa.es,zividaya.e.telefonica.net,2
lacaixa.es,msn.com,3
lacaixa.es,avis.es,2
lacaixa.es,teleline.es,4
lacaixa.es,wanadoo.es,2
lacaixa.es,icab.es,4
lacaixa.es,assessorsassociats.com,63
lacaixa.es,meca-fontde.com,2
lacaixa.es,capgemini.es,5
lacaixa.es,emprendelaw.com,1
lacaixa.es,notariado.org,2
lacaixa.es,paidodex.com,2
lacaixa.es,giligroup.com,2
lacaixa.es,cajacanarias.es,2
lacaixa.es,lugarco.com,2
lacaixa.es,andaluciajunta.es,2
lacaixa.es,inoutechnology.com,2
lacaixa.es,schellscheidt.com,1
lacaixa.es,dragados.com,2
lacaixa.es,cap,2
lacaixa.es,eresmas.com,2
lacaixa.es,live.com,2
lacaixa.es,grupocerro.es,2
lacaixa.es,columbia.edu,4
lacaixa.es,discaf.com,1
lacaixa.es,hotmail.com,68
lacaixa.es,pnte.cfnavarra.es,4
lacaixa.es,alejandrosegura.com,4
lacaixa.es,gxmail.com,1
lacaixa.es,grupcei.net,2
lacaixa.es,grupointro.es,2
lacaixa.es,elche.cgpe.net,1
lacaixa.es,esade.edu,2
lacaixa.es,cobralia.com,1
lacaixa.es,canal2000.com,2
lacaixa.es,medinacuadros.es,2
lacaixa.es,publipunto.com,3
icaasp52.lacaixa.es,capgemini.com,2
lacaixa.es,ej-gv.es,1
lacaixa.es,tec,4
lacaixa.es,fcc.es,2
lacaixa.es,gencat.net,1
lacaixa.es,geoban.es,4
lacaixa.es,yahoo.es,5
lacaixa.es,silk.es,27
lacaixa.es,medinapinazoabogados.com,2
promocaixa.es,promocaixa.es,5
segurcaixaholding.com,tecnocom.es,3
lacaixa.es,evathink.com,3
lacaixa.es,asisa.es,1
lacaixa.es,yesosiber.grusa.com,3
lacaixa.es,opentrends.net,1
glc.es,itnow.es,1
lacaixa.es,forgioneiberica.com,1
pagepersonnel.es,fundaciolacaixa.es,6
indra.es,indrabmb.es,3
lacaixa.es,ymail.com,4
lacaixa.es,ozu.es,2
lacaixa.es,carbonifera.com,3
lacaixa.es,la,1
lacaixa.es,samca.com,3
lacaixa.es,mibalia.com,2
lacaixa.es,pie.xtec.es,2
lacaixa.es,xtec.net,3
lacaixa.es,ub.edu,1
lacaixa.es,snps.es,1
lacaixa.es,diba.cat,1
lacaixa.es,jccm.es,2
lacaixa.es,genove.com,1
lacaixa.es,externos.itnow.es,14
lacaixa.es,xtec.cet,2
lacaixa.es,cglesa.com,1
lacaixa.es,yahoo.fr,6
lacaixa.es,itnow.es,17
lacaixa.es,gencat.cat,2
lacaixa.es,tinet.org,2
segurcaixaholding.com,vidacaixa.com,17
lacaixa.es,tf7mnasr02.lacaixa.es,2
lacaixa.es,casiort.com,1
lacaixa.es,grupoladespensa.com,4
everis.com,lacaixa.es,5
lacaixa.es,hp.c,109
lacaixa.es,hp.com;ju,4
lacaixa.es,vidacaixa.com,3
lacaixa.es,outlook.com,1
lacaixa.es,hotmail.es,6
lacaixa.es,pecomark.com,2
lacaixa.es,gmel.com,2
lacaixa.es,iese.edu,2
segurcaixaholding.com,segurcaixaholding.com,2
lacaixa.es,gmai.com,1
lacaixa.es,galicia.com,2
lacaixa.es,cucut.com,1
lacaixa.es,mahou-sanmiguel.com,3
lacaixa.es,comb.cat,1
lacaixa.es,cofb.net,2
lacaixa.es,proveedorex,2
lacaixa.es,outlook.es,2
lacaixa.es,hpcds.com,4
lacaixa.es,kunal.es,4
lacaixa.es,medynet.com,3
mrxasp13.lacaixa.es,gmail.com;<,2
lacaixa.es,telefonica.net,5
lacaixa.es,ingenieriaderefrigeracion.com,1
lacaixa.es,lacaixa.es,15
lacaixa.es,euroleague.net,1
lacaixa.es,oshar.com,2
int-it.net,lacaixa.es,4
lacaixa.es,registradores.org,2
lacaixa.es,caldeval.es,1
lacaixa.es,grcasp01.lacaixa.es,1
lacaixa.es,inbox.com,2
lacaixa.es,alamar.es,1
segurcaixaholding.com,eds.com,2
lacaixa.es,convatec.com,1
lacaixa.es,aragon.es,2
lacaixa.es,safran-engineering.com,2
lacaixa.es,cotasp01.lacaixa.es,6
lacaixa.es,neurocrecer.es,1
lacaixa.es,hp.,2
lacaixa.es,grupopuma.com,1
lacaixa.es,interflora.es,2
esade.edu,invercaixa.es,2
lacaixa.es,caixacard.net,10
lacaixa.es,copitival.es,2
lacaixa.es,inicia.es,4
lacaixa.es,vilavila.com,3
lacaixa.es,balaguer.cat,2
lacaixa.es,alimotor.com,2
lacaixa.es,logrolectric.com,1
lacaixa.es,netapp.com,10
lacaixa.es,accenture.com,1
lacaixa.es,servihabitat.com,1
mrtasp11.lacaixa.glc.es,itnow.es,2
gruposantander.com,capgemini.c,1
lacaixa.es,iberdrola.es,1
lacaixa.es,farmacia-arbusse.cat,1
lacaixa.es,monseovp01.lacaixa.es,2
lacaixa.es,mercabarna.com,2
lacaixa.es,alagon.net,2
lacaixa.es,eic.ictnet.es,1
lacaixa.es,udc.es,2
lacaixa.es,luflo.e.telefonica.net,2
lacaixa.es,pruebatucoche.es,4
lacaixa.es,manresa-srivas.com,1
lacaixa.es,cajasol.es,2
lacaixa.es,ubu.es,2
lacaixa.es,operaoviedo.com,1
lacaixa.es,eon.com,1
lacaixa.es,ziurnavarra.com,3
lacaixa.es,servicets.com,1
elacaixa.com,ts.fujitsu.com,6
lacaixa.es,nightmangrew.com,1
lacaixa.es,blazertechnologies.es,1
lacaixa.es,gdscusa.es,2
lacaixa.es,inapa.es,4
lacaixa.es,satferroli.com,1
lacaixa.es,aromasdeibiza.es,1
lacaixa.es,yahoo.com,5
lacaixa.es,cotasp02.lacaixa.es,4
lacaixa.es,aulkia.com,1
lacaixa.es,promojaen.es,4
lacaixa.es,orionassessors.com,26
lacaixa.es,rnadal.com,1
lacaixa.es,ono.com,2
lacaixa.es,elacaixa.es,1
lacaixa.es,gamil.com,2
lacaixa.es,hotelneptuno.com,2
lacaixa.es,gmx.es,2
lacaixa.es,aocsl.com,2
lacaixa.es,elac,2
lacaixa.es,mundo-r.com,1
capgemini.com,capgemini.com,1
lacaixa.es,gmail.com,57
itnow.es,itnow.es,2
lacaixa.es,proveedorexterno.com,2
lacaixa.es,hp.com,26
lacaixa.es,mixmail.com,2
lacaixa.es,paternasesores.es,5
lacaixa.es,g3tsl.es,2
promocaixa.es,everis.com,1
lacaixa.es,hipertextil.com,3
lacaixa.es,movistar.es,22
lacaixa.es,tecnocom.e,1
lacaixa.es,proveedorexterno,2
lacaixa.es,hotmai.com,1
lacaixa.es,hellermanntyton.es,2
lacaixa.es,indoga.e.telefonica.net,1
tecnocom.es,lacaixa.es,4
ersaconf.org,itnow.es,1
lacaixa.es,itadbp01.ia.lacaixa.es,2
mrxasp13.lacaixa.es,everis.com,2
lacaixa.es,consbv.com,2
lacaixa.es,xtec.cat,11
lacaixa.es,sefes.es,3
lacaixa.es,correodrago.com,2
lacaixa.es,sgs.com,3
lacaixa.es,juancuadros.com,1
lacaixa.es,gestoriacasals.com,383
lacaixa.es,itnow,2
lacaixa.es,capgemini.com,4
lacaixa.es,otmail.com,1
lacaixa.es,colaboradorst.es,2
leaseplan.es,itnow.es,2
lacaixa.es,serviciosbancarios.com,2
lacaixa.es,abbahoteles.com,1
lacaixa.es,mcspa.org,3
lacaixa.es,tecnocom,2
lacaixa.es,ctav.es,2
lacaixa.es,hotmail.co.uk,1
lacaixa.es,servisama.com,30
itnow.es,lacaixa.es,2
lacaixa.es,uoc.edu,1
lacaixa.es,lacaixa.es;dp,1
lacaixa.es,euskaltel.net,5
lacaixa.es,es.pwc.com,1
