Origen,Destino,Total
lacaixa.es,gmail.com,159
bancacivica.es,barclayscapital.com,53
bancacivica.es,barclayscapital.com,53
bancacivica.es,barclayscapital.com,53
bancacivica.es,correolimpio.telefonica.es,7
bancacivica.es,barclayscapital.com,53
lacaixa.es,lacaixa.es,12
lacaixa.es,gmail.com,159
lacaixa.es,lacaixa.es,12
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.es,23
lacaixa.es,gmail.com,159
lacaixa.es,gmail.com,159
lacaixa.es,gmail.com,159
lacaixa.es,lacaixa.es,12
lacaixa.es,hotmail.com,158
ubs.com,vidacaixa.com,2
citco.com,invercaixa.es,3
lacaixa.es,gmail.com,159
lacaixa.es,gmail.com,159
bancacivica.es,barclayscapital.com,53
lacaixa.es,gmail.com,159
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.es,23
caam.net,lacaixa.es,23
caam.net,lacaixa.es,23
caam.net,lacaixa.es,23
caam.net,lacaixa.es,23
caam.net,lacaixa.es,23
caam.net,lacaixa.es,23
caam.net,lacaixa.es,23
lacaixa.es,gmail.com,159
caam.net,lacaixa.es,23
caam.net,lacaixa.es,23
caam.net,lacaixa.es,23
lacaixa.es,hotmail.com,158
lacaixa.es,cotasp02.lacaixa.es,1
lacaixa.es,gmail.com,159
lacaixa.es,gmail.com,159
bancacivica.es,olibegijar.es,2
bancacivica.es,olibegijar.es,2
bancacivica.es,barclayscapital.com,53
bancacivica.es,barclayscapital.com,53
bancacivica.es,barclayscapital.com,53
bancacivica.es,barclayscapital.com,53
lacaixa.es,gmail.com,159
lacaixa.es,HOTMAIL.ES,15
lacaixa.es,lacaixa.es,12
lacaixa.es,lacaixa.es,12
lacaixa.es,HOTMAIL.COM,116
lacaixa.es,gmail.com,159
lacaixa.es,GMAIL.COM,56
lacaixa.es,GMAIL.COM,56
lacaixa.es,hotmail.com,158
lacaixa.es,gmail.com,159
lacaixa.es,GMAIL.COM,56
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,gmail.com,159
lacaixa.es,GMAIL.COM,56
lacaixa.es,gmail.com,159
lacaixa.es,HOTMAIL.ES,15
lacaixa.es,gmail.com,159
lacaixa.es,itnow,2
lacaixa.es,itnow,2
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,GMAIL.COM,56
lacaixa.es,gmail.com,159
lacaixa.es,hotmail.com,158
lacaixa.es,HOTMAIL.COM,116
bancacivica.es,db.com,4
bancacivica.es,db.com,4
bancacivica.es,db.com,4
bancacivica.es,db.com,4
lacaixa.es,gmail.com,159
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,HOTMAIL.COM,116
lacaixa.es,gmail.com,159
lacaixa.es,hotmail.com,158
lacaixa.es,gmail.com,159
lacaixa.es,accenture.com,1
lacaixa.es,hotmail.com,158
lacaixa.es,HOTMAIL.COM,116
mrxasp13.lacaixa.es,everis.com,2
mrxasp13.lacaixa.es,everis.com,2
lacaixa.es,gmail.com,159
lacaixa.es,hotmail.com,158
bancacivica.es,barclayscapital.com,53
lacaixa.es,capgemini.es,4
lacaixa.es,capgemini.es,4
lacaixa.es,capgemini.es,4
lacaixa.es,capgemini.es,4
lacaixa.es,HOTMAIL.COM,116
bancacivica.es,barclayscapital.com,53
lacaixa.es,hotmail.com,158
lacaixa.es,HOTMAIL.COM,116
lacaixa.es,hotmail.com,158
bancacivica.es,barclayscapital.com,53
bancacivica.es,barclayscapital.com,53
LACAIXA.ES,gmail.com,16
LACAIXA.ES,gmail.com,16
LACAIXA.ES,gmail.com,16
bancacivica.es,barclayscapital.com,53
LACAIXA.ES,gmail.com,16
LACAIXA.ES,hotmail.com,10
LACAIXA.ES,gmail.com,16
bancacivica.es,barclayscapital.com,53
bancacivica.es,barclayscapital.com,53
bancacivica.es,barclayscapital.com,53
bancacivica.es,barclayscapital.com,53
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,HP.COM,1
bancacivica.es,barclayscapital.com,53
silk.es,hp.com,30
silk.es,hpcds.com,2
silk.es,hpcds.com,2
bancacivica.es,barclayscapital.com,53
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
silk.es,hp.com,30
lacaixa.es,baseuno.es,1
silk.es,hp.com,30
bancacivica.es,barclayscapital.com,53
bancacivica.es,barclayscapital.com,53
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,proveedorexterno,4
lacaixa.es,gmail.com,159
bancacivica.es,barclayscapital.com,53
bancacivica.es,barclayscapital.com,53
bancacivica.es,barclayscapital.com,53
bancacivica.es,barclayscapital.com,53
lacaixa.es,HOTMAIL.COM,116
lacaixa.es,gmail.com,159
lacaixa.es,hotmail.com,158
lacaixa.es,gmail.com,159
lacaixa.es,hotmail.com,158
lacaixa.es,HOTMAIL.COM,116
caam.net,lacaixa.es,23
caam.net,lacaixa.es,23
lacaixa.es,gmail.com,159
caam.net,lacaixa.es,23
caam.net,lacaixa.es,23
caam.net,lacaixa.es,23
caam.net,lacaixa.es,23
caam.net,lacaixa.es,23
caam.net,lacaixa.es,23
caam.net,lacaixa.es,23
caam.net,lacaixa.es,23
lacaixa.es,hotmail.com,158
lacaixa.es,gmail.com,159
bancacivica.es,correolimpio.t,11
lacaixa.es,gmail.com,159
lacaixa.es,hotmail.com,158
lacaixa.es,HOTMAIL.ES,15
lacaixa.es,hotmail.es,23
lacaixa.es,HOTMAIL.COM,116
lacaixa.es,HOTMAIL.COM,116
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
BARRERA.com,csa.es,1
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,GMAIL.COM,56
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,HOTMAIL.COM,116
lacaixa.es,proveedorexterno.com;david.ga,2
lacaixa.es,proveedorexterno.com;david.ga,2
lacaixa.es,gmail.com,159
lacaixa.es,HOTMAIL.COM,116
lacaixa.es,telefonica.es;david.garci,4
lacaixa.es,telefonica.es;david.garci,4
lacaixa.es,telefonica.es;david.garci,4
lacaixa.es,telefonica.es;david.garci,4
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,gmail.com,159
lacaixa.es,HOTMAIL.ES,15
lacaixa.es,gmail.com,159
lacaixa.es,gmail.com,159
lacaixa.es,hotmail.com,158
bancacivica.es,rbrldn.demon.co.uk,1
lacaixa.es,HOTMAIL.COM,116
lacaixa.es,proveedorexterno,4
lacaixa.es,proveedorexterno,4
lacaixa.es,gmail.com,159
bancacivica.es,postmaster.twitter.com,1
lacaixa.es,hotmail.com,158
lacaixa.es,gmail.com,159
lacaixa.es,proveedorexterno,4
lacaixa.es,gmail.com,159
proveedorexterno.com,everis.com,19
proveedorexterno.com,everis.com,19
proveedorexterno.com,everis.com,19
proveedorexterno.com,everis.com,19
proveedorexterno.com,everis.com,19
proveedorexterno.com,everis.com,19
proveedorexterno.com,everis.com,19
proveedorexterno.com,everis.com,19
proveedorexterno.com,everis.com,19
proveedorexterno.com,everis.com,19
proveedorexterno.com,everis.com,19
proveedorexterno.com,everis.com,19
proveedorexterno.com,everis.com,19
proveedorexterno.com,everis.com,19
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
lacaixa.es,hotmail.com,158
citco.com,invercaixa.es,3
citco.com,invercaixa.es,3
lacaixa.es,hotmail.com,158
bancacivica.es,barclayscapital.com,53
lacaixa.es,gmail.com,159
lacaixa.es,HOTMAIL.COM,116
lacaixa.es,hotmail.com,158
lacaixa.es,HOTMAIL.COM,116
lacaixa.es,HOTMAIL.COM,116
